symbol,direction,score,entry_time_ms,exit_time_ms,entry_price,exit_price,stop_loss,tp1_price,final_target_price,trailing_stop_price,trailing_stop_activated,planned_hold_hours,funding_cost_pct,tp1_hit,outcome,pnl_pct
ETHUSDT,做多观察,94,1776982799999,1776988199999,2336.56,2329.69,2318.231928571429,2354.888071428571,2373.216142857142,0.0,False,1.5,1.875e-05,False,到期平仓,-0.003958969810319397
ETHUSDT,做空观察,100,1777174499999,1777178999999,2309.53,2315.187857142857,2315.187857142857,2303.8721428571434,2298.2142857142867,0.0,False,1.5,1.5625e-05,False,止损,-0.003465412247992776
ETHUSDT,做多观察,99,1777231199999,1777234799999,2368.55,2363.63,2356.791285714286,2380.3087142857144,2392.0674285714285,0.0,False,1.0,1.25e-05,False,到期平仓,-0.0030897202402313958
ETHUSDT,做多观察,100,1777251899999,1777255499999,2395.4,2389.66,2373.0295714285717,2417.7704285714285,2440.140857142857,0.0,False,1.0,1.25e-05,False,到期平仓,-0.003408759497370058
ETHUSDT,做空观察,100,1777343999999,1777352999999,2281.01,2289.41,2299.6275,2262.3925000000004,2243.7750000000005,0.0,False,2.5,3.125e-05,False,到期平仓,-0.004713829208332991
ETHUSDT,做空观察,100,1777376999999,1777382999999,2269.78,2269.78,2280.6625,2258.8975000000005,2248.015000000001,0.0,False,3.0,2.0833333333333333e-05,True,半仓止盈后保本,0.0013764254318332704
ETHUSDT,做多观察,90,1777437299999,1777440899999,2325.7,2324.0,2303.4220714285716,2347.977928571428,2370.2558571428563,0.0,False,1.0,1.25e-05,False,到期平仓,-0.001743462720901156
ETHUSDT,做空观察,96,1777469699999,1777475099999,2296.98,2293.87,2316.9583571428575,2277.0016428571425,2257.023285714285,0.0,False,1.5,1.875e-05,False,到期平仓,0.0003352017105068948
ETHUSDT,做空观察,100,1777477199999,1777482599999,2277.56,2267.99,2303.9491428571428,2251.170857142857,2224.7817142857143,0.0,False,1.5,1.875e-05,False,到期平仓,0.0031831151539367408
ETHUSDT,做空观察,100,1777486199999,1777491599999,2232.58,2226.84,2295.583142857143,2169.576857142857,2106.5737142857142,0.0,False,1.5,1.875e-05,False,到期平仓,0.0015522664921300833
ETHUSDT,做多观察,100,1777637999999,1777641599999,2295.01,2307.98,2281.554142857143,2308.4658571428577,2321.921714285715,0.0,False,1.0,1.25e-05,True,半仓止盈后到期,0.004744742265362077
ETHUSDT,做多观察,100,1777690499999,1777699499999,2303.29,2297.4,2292.9907857142857,2313.589214285714,2323.8884285714284,0.0,False,2.5,3.125e-05,False,到期平仓,-0.0035884616407399297
ETHUSDT,做多观察,100,1777757699999,1777758299999,2313.56,2322.6259999999997,2309.027,2318.093,2322.6259999999997,0.0,False,2.5,2.0833333333333334e-06,True,分批止盈,0.001936893827405897
ETHUSDT,做多观察,90,1777791299999,1777796699999,2304.72,2308.3,2296.936928571429,2312.503071428571,2320.286142857142,0.0,False,1.5,1.875e-05,True,半仓止盈后到期,0.0014464239535760099
ETHUSDT,做多观察,100,1777801199999,1777806599999,2320.07,2313.0,2306.4731428571426,2333.6668571428577,2347.263714285715,0.0,False,1.5,1.875e-05,False,到期平仓,-0.004066071848047758
ETHUSDT,做多观察,100,1777808999999,1777819799999,2325.08,2323.33,2314.6938571428573,2335.4661428571426,2345.8522857142852,0.0,False,3.0,3.75e-05,False,到期平仓,-0.0017901622739862715
ETHUSDT,做多观察,100,1777836899999,1777844099999,2335.19,2331.1,2322.0519285714286,2348.3280714285715,2361.466142857143,0.0,False,2.0,2.5e-05,False,到期平仓,-0.002776463478346578
ETHUSDT,做多观察,100,1777868399999,1777871999999,2394.06,2379.81,2366.47,2421.65,2449.2400000000002,0.0,False,1.0,1.25e-05,False,到期平仓,-0.006964731773639759
ETHUSDT,做多观察,100,1777904699999,1777906799999,2346.42,2381.9260000000004,2328.667,2364.1730000000002,2381.9260000000004,0.0,False,1.5,7.291666666666667e-06,True,分批止盈,0.010341699562525137
ETHUSDT,做多观察,100,1777946699999,1777955699999,2371.15,2378.4,2353.4649999999997,2388.8350000000005,2406.520000000001,0.0,False,2.5,3.125e-05,False,到期平仓,0.0020263380901672182
